kb,example_set,negatives,condition,k,n_folds,n_ok_folds,n_failed,n_zero_neg_folds,size_mean,size_std,desc_p_mean,desc_p_std,desc_r_mean,desc_r_std,desc_f1_mean,desc_f1_std,clause_p_mean,clause_p_std,clause_r_mean,clause_r_std,clause_f1_mean,clause_f1_std,sem_p_mean,sem_p_std,sem_r_mean,sem_r_std,sem_f1_mean,sem_f1_std,exact_equiv_mean,exact_equiv_std,accuracy_mean,accuracy_std,specificity_mean,specificity_std,tp_mean,tp_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,n_test_neg_mean,n_test_neg_std,n_mss_mean,n_mss_std,n_cover_mean,n_cover_std,n_support_mean,n_support_std,n_kb_mean,n_kb_std,n_uncoverable_mean,n_uncoverable_std,n_components_mean,n_components_std,largest_component_mean,largest_component_std,n_greedy_fallback_mean,n_greedy_fallback_std,stage1_ms_mean,stage1_ms_std,cover_ms_mean,cover_ms_std,reduce_ms_mean,reduce_ms_std,total_ms_mean,total_ms_std,preprocessing_ms_mean,preprocessing_ms_std,preprocessing_checks_mean,preprocessing_checks_std,oracle_queries_mean,oracle_queries_std,stage1_batch_checks_mean,stage1_batch_checks_std,checks_total_mean,checks_total_std,checks_gate_mean,checks_gate_std,checks_admpool_mean,checks_admpool_std,checks_cover_rej_mean,checks_cover_rej_std,checks_cover_qx_mean,checks_cover_qx_std,checks_redundancy_mean,checks_redundancy_std,memory_mb_mean,memory_mb_std
REAL-FM-4,2cov,n/a,A,,3,3,0,0,1678.6666666666667,345.83281124458586,0.1332341151698585,0.024530645218923022,0.9954337899543378,0.0,0.23445271559034941,0.038659301527274884,0.2382514242127462,0.04994059382038039,0.9953271028037384,0.0,0.3826728183833528,0.06665603472216344,0.24331819360290377,0.0523502090617893,0.9976635514018691,0.0,0.38926910166611256,0.06944205044743298,0,0.0,0.9523809523809523,0.08247860988423228,1.0,0.0,0,0.0,5.666666666666667,0.5773502691896257,0,0.0,0.3333333333333333,0.5773502691896257,5.666666666666667,0.5773502691896257,1678.6666666666667,345.83281124458586,0,0.0,0,0.0,1678.6666666666667,345.83281124458586,0,0.0,0,0.0,0,0.0,0,0.0,5215.597359269547,4491.0669945860545,0.0,0.0,0.0,0.0,5215.597359269547,4491.0669945860545,0.0,0.0,0,0.0,0,0.0,1761,1513.8124058151986,1761,1513.8124058151986,1,0.0,1760,1513.8124058151986,0,0.0,0,0.0,0,0.0,0.0,0.0
REAL-FM-4,2cov,reduced,C,,3,3,0,0,1.6666666666666667,0.5773502691896257,1.0,0.0,0.0076103500761035,0.0026363025990393868,0.01509666803784451,0.005201139817051751,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,0,0.0,0.9444444444444444,0.0962250448649376,0.9444444444444444,0.0962250448649376,0.3333333333333333,0.5773502691896257,5.333333333333333,0.5773502691896257,0.3333333333333333,0.5773502691896257,0,0.0,5.666666666666667,0.5773502691896257,1678.6666666666667,345.83281124458586,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1634.6666666666667,321.68359195540785,1,0.0,5215.597359269547,4491.0669945860545,5755.714819320322,597.8823652884912,0.0,0.0,10971.31217858987,4080.520352509054,370.7977916540888,43.96363515602073,114.66666666666667,6.429100507328637,0,0.0,1761,1513.8124058151986,20719.333333333332,2004.7723894081676,1,0.0,1760,1513.8124058151986,18958.333333333332,3457.2258146284476,0,0.0,0,0.0,0.0,0.0
REAL-FM-4,2cov,reduced,C∪S,1,3,3,0,0,142.66666666666666,121.82090679901104,0.6807511737089201,0.27647759369644054,0.34094368340943687,0.2873569832952932,0.3486257750963634,0.2862441097056912,0.8739837398373984,0.10913328259072191,0.6246105919003115,0.5328349446960331,0.5844337090713903,0.49009693140629823,0.8807692307692307,0.10325687506660616,0.6682242990654206,0.570605523054233,0.6067354274105329,0.5094107860360411,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,5.666666666666667,0.5773502691896257,0,0.0,0,0.0,5.666666666666667,0.5773502691896257,1678.6666666666667,345.83281124458586,1.6666666666666667,0.5773502691896257,985,853.0351692632609,142.66666666666666,121.82090679901104,0,0.0,1,0.0,1634.6666666666667,321.68359195540785,1,0.0,5215.597359269547,4491.0669945860545,5755.714819320322,597.8823652884912,238.52655536029488,206.49189585674122,11209.838733950164,4285.989057901968,370.7977916540888,43.96363515602073,114.66666666666667,6.429100507328637,0,0.0,1761,1513.8124058151986,21706,1252.308668020788,1,0.0,1760,1513.8124058151986,18958.333333333332,3457.2258146284476,0,0.0,986.6666666666666,852.7463475930773,0.0,0.0
REAL-FM-4,2cov,reduced,C∪S,2,3,3,0,0,1.6666666666666667,0.5773502691896257,1.0,0.0,0.0076103500761035,0.0026363025990393868,0.01509666803784451,0.005201139817051751,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,0,0.0,0.9444444444444444,0.0962250448649376,0.9444444444444444,0.0962250448649376,0.3333333333333333,0.5773502691896257,5.333333333333333,0.5773502691896257,0.3333333333333333,0.5773502691896257,0,0.0,5.666666666666667,0.5773502691896257,1678.6666666666667,345.83281124458586,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1634.6666666666667,321.68359195540785,1,0.0,5215.597359269547,4491.0669945860545,5755.714819320322,597.8823652884912,0.9804306513008972,0.4996849757428809,10972.29260924117,4080.8439665267642,370.7977916540888,43.96363515602073,114.66666666666667,6.429100507328637,0,0.0,1761,1513.8124058151986,20721,2005.2251743881534,1,0.0,1760,1513.8124058151986,18958.333333333332,3457.2258146284476,0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0
REAL-FM-4,2cov,reduced,C∪S,3,3,3,0,0,1.6666666666666667,0.5773502691896257,1.0,0.0,0.0076103500761035,0.0026363025990393868,0.01509666803784451,0.005201139817051751,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,0,0.0,0.9444444444444444,0.0962250448649376,0.9444444444444444,0.0962250448649376,0.3333333333333333,0.5773502691896257,5.333333333333333,0.5773502691896257,0.3333333333333333,0.5773502691896257,0,0.0,5.666666666666667,0.5773502691896257,1678.6666666666667,345.83281124458586,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1634.6666666666667,321.68359195540785,1,0.0,5215.597359269547,4491.0669945860545,5755.714819320322,597.8823652884912,0.919805335191389,0.47633429536169697,10972.231983925061,4080.8040340698926,370.7977916540888,43.96363515602073,114.66666666666667,6.429100507328637,0,0.0,1761,1513.8124058151986,20721,2005.2251743881534,1,0.0,1760,1513.8124058151986,18958.333333333332,3457.2258146284476,0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0
REAL-FM-4,2cov,reduced,C∪S,5,3,3,0,0,1.6666666666666667,0.5773502691896257,1.0,0.0,0.0076103500761035,0.0026363025990393868,0.01509666803784451,0.005201139817051751,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,0,0.0,0.9444444444444444,0.0962250448649376,0.9444444444444444,0.0962250448649376,0.3333333333333333,0.5773502691896257,5.333333333333333,0.5773502691896257,0.3333333333333333,0.5773502691896257,0,0.0,5.666666666666667,0.5773502691896257,1678.6666666666667,345.83281124458586,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1634.6666666666667,321.68359195540785,1,0.0,5215.597359269547,4491.0669945860545,5755.714819320322,597.8823652884912,0.9117499964001278,0.3660639228382914,10972.223928586269,4080.7768582870463,370.7977916540888,43.96363515602073,114.66666666666667,6.429100507328637,0,0.0,1761,1513.8124058151986,20721,2005.2251743881534,1,0.0,1760,1513.8124058151986,18958.333333333332,3457.2258146284476,0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0
REAL-FM-4,2cov,raw,C,,3,3,0,0,1.6666666666666667,0.5773502691896257,1.0,0.0,0.0076103500761035,0.0026363025990393868,0.01509666803784451,0.005201139817051751,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,0,0.0,0.9444444444444444,0.0962250448649376,0.9444444444444444,0.0962250448649376,0.3333333333333333,0.5773502691896257,5.333333333333333,0.5773502691896257,0.3333333333333333,0.5773502691896257,0,0.0,5.666666666666667,0.5773502691896257,1678.6666666666667,345.83281124458586,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1634.6666666666667,321.68359195540785,1,0.0,4803.790062452511,4138.6975180788795,5966.547457986356,684.8183970070743,0.0,0.0,10770.337520438867,3662.2635172257355,0.0,0.0,0,0.0,0,0.0,1761,1513.8124058151986,20719.333333333332,2004.7723894081676,1,0.0,1760,1513.8124058151986,18958.333333333332,3457.2258146284476,0,0.0,0,0.0,0.0,0.0
REAL-FM-4,2cov,raw,C∪S,1,3,3,0,0,142.66666666666666,121.82090679901104,0.6807511737089201,0.27647759369644054,0.34094368340943687,0.2873569832952932,0.3486257750963634,0.2862441097056912,0.8739837398373984,0.10913328259072191,0.6246105919003115,0.5328349446960331,0.5844337090713903,0.49009693140629823,0.8807692307692307,0.10325687506660616,0.6682242990654206,0.570605523054233,0.6067354274105329,0.5094107860360411,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,5.666666666666667,0.5773502691896257,0,0.0,0,0.0,5.666666666666667,0.5773502691896257,1678.6666666666667,345.83281124458586,1.6666666666666667,0.5773502691896257,985,853.0351692632609,142.66666666666666,121.82090679901104,0,0.0,1,0.0,1634.6666666666667,321.68359195540785,1,0.0,4803.790062452511,4138.6975180788795,5966.547457986356,684.8183970070743,240.39837498761094,207.39237030156391,11010.735895426478,3865.6852663993614,0.0,0.0,0,0.0,0,0.0,1761,1513.8124058151986,21706,1252.308668020788,1,0.0,1760,1513.8124058151986,18958.333333333332,3457.2258146284476,0,0.0,986.6666666666666,852.7463475930773,0.0,0.0
REAL-FM-4,2cov,raw,C∪S,2,3,3,0,0,1.6666666666666667,0.5773502691896257,1.0,0.0,0.0076103500761035,0.0026363025990393868,0.01509666803784451,0.005201139817051751,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,0,0.0,0.9444444444444444,0.0962250448649376,0.9444444444444444,0.0962250448649376,0.3333333333333333,0.5773502691896257,5.333333333333333,0.5773502691896257,0.3333333333333333,0.5773502691896257,0,0.0,5.666666666666667,0.5773502691896257,1678.6666666666667,345.83281124458586,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1634.6666666666667,321.68359195540785,1,0.0,4803.790062452511,4138.6975180788795,5966.547457986356,684.8183970070743,0.9513053422172865,0.35045949710784546,10771.288825781085,3662.454225710847,0.0,0.0,0,0.0,0,0.0,1761,1513.8124058151986,20721,2005.2251743881534,1,0.0,1760,1513.8124058151986,18958.333333333332,3457.2258146284476,0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0
REAL-FM-4,2cov,raw,C∪S,3,3,3,0,0,1.6666666666666667,0.5773502691896257,1.0,0.0,0.0076103500761035,0.0026363025990393868,0.01509666803784451,0.005201139817051751,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,1.0,0.0,0.0077881619937694695,0.0026978984541571297,0.015446454206144128,0.00532097147315159,0,0.0,0.9444444444444444,0.0962250448649376,0.9444444444444444,0.0962250448649376,0.3333333333333333,0.5773502691896257,5.333333333333333,0.5773502691896257,0.3333333333333333,0.5773502691896257,0,0.0,5.666666666666667,0.5773502691896257,1678.6666666666667,345.83281124458586,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1634.6666666666667,321.68359195540785,1,0.0,4803.790062452511,4138.6975180788795,5966.547457986356,684.8183970070743,0.8707503438927233,0.29091852565239773,10771.20827078276,3662.4261750480964,0.0,0.0,0,0.0,0,0.0,1761,1513.8124058151986,20721,2005.2251743881534,1,0.0,1760,1513.8124058151986,18958.333333333332,3457.2258146284476,0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0
