kb,example_set,negatives,condition,k,n_folds,n_ok_folds,n_failed,n_zero_neg_folds,size_mean,size_std,desc_p_mean,desc_p_std,desc_r_mean,desc_r_std,desc_f1_mean,desc_f1_std,clause_p_mean,clause_p_std,clause_r_mean,clause_r_std,clause_f1_mean,clause_f1_std,sem_p_mean,sem_p_std,sem_r_mean,sem_r_std,sem_f1_mean,sem_f1_std,exact_equiv_mean,exact_equiv_std,accuracy_mean,accuracy_std,specificity_mean,specificity_std,tp_mean,tp_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,n_test_neg_mean,n_test_neg_std,n_mss_mean,n_mss_std,n_cover_mean,n_cover_std,n_support_mean,n_support_std,n_kb_mean,n_kb_std,n_uncoverable_mean,n_uncoverable_std,n_components_mean,n_components_std,largest_component_mean,largest_component_std,n_greedy_fallback_mean,n_greedy_fallback_std,stage1_ms_mean,stage1_ms_std,cover_ms_mean,cover_ms_std,reduce_ms_mean,reduce_ms_std,total_ms_mean,total_ms_std,preprocessing_ms_mean,preprocessing_ms_std,preprocessing_checks_mean,preprocessing_checks_std,oracle_queries_mean,oracle_queries_std,stage1_batch_checks_mean,stage1_batch_checks_std,checks_total_mean,checks_total_std,checks_gate_mean,checks_gate_std,checks_admpool_mean,checks_admpool_std,checks_cover_rej_mean,checks_cover_rej_std,checks_cover_qx_mean,checks_cover_qx_std,checks_redundancy_mean,checks_redundancy_std,memory_mb_mean,memory_mb_std
arcade-game,2cov,n/a,A,,3,3,0,0,1374.6666666666667,328.51230316889706,0.05042619080839135,0.0105895743122729,0.9571428571428572,0.0,0.09567024300458982,0.01923038050632217,0.09442564908079688,0.01929331227761881,0.9923076923076923,0.0,0.1720573082167692,0.032512488781622974,0.09516996536323526,0.022291902036963875,0.9923076923076923,0.0,0.17316892290297675,0.037577059530678456,0,0.0,0.9444444444444444,0.0962250448649376,1.0,0.0,0,0.0,4.333333333333333,0.5773502691896257,0,0.0,0.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,1374.6666666666667,328.51230316889706,0,0.0,0,0.0,1374.6666666666667,328.51230316889706,0,0.0,0,0.0,0,0.0,0,0.0,3372.043132626762,2904.6055596047413,0.0,0.0,0.0,0.0,3372.043132626762,2904.6055596047413,0.0,0.0,0,0.0,0,0.0,1638.6666666666667,1408.734656822687,1638.6666666666667,1408.734656822687,1,0.0,1637.6666666666667,1408.734656822687,0,0.0,0,0.0,0,0.0,0.0,0.0
arcade-game,2cov,reduced,C,,3,3,0,0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.28867513459481287,0.014285714285714285,0.0,0.02790818988002087,0.0002258803870068951,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,0,0.0,0,0.0,4.333333333333333,0.5773502691896257,1374.6666666666667,328.51230316889706,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1294.3333333333333,301.09190180629787,1,0.0,3372.043132626762,2904.6055596047413,2236.0275000100955,51.61309102115037,0.0,0.0,5608.070632636857,2854.2549035191114,143.76929128775373,12.566756689838277,85.33333333333333,5.131601439446884,0,0.0,1638.6666666666667,1408.734656822687,13426,535.2036995387831,1,0.0,1637.6666666666667,1408.734656822687,11787.333333333334,1943.93835636147,0,0.0,0,0.0,0.0,0.0
arcade-game,2cov,reduced,C∪S,1,3,3,0,0,47.666666666666664,40.414518843273804,0.6056338028169014,0.3415311451544265,0.28095238095238095,0.23094010767585033,0.2836213498485,0.22122821222769,0.8030303030303031,0.17058076135148031,0.48205128205128206,0.40414518843273806,0.48338345284910167,0.39237915588228556,0.8483033932135728,0.1313731151449448,0.6666666666666667,0.564026801439096,0.5892255892255892,0.4840411347751408,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,0,0.0,0,0.0,4.333333333333333,0.5773502691896257,1374.6666666666667,328.51230316889706,1.6666666666666667,0.5773502691896257,788.6666666666666,683.0053684513273,47.666666666666664,40.414518843273804,0,0.0,1,0.0,1294.3333333333333,301.09190180629787,1,0.0,3372.043132626762,2904.6055596047413,2236.0275000100955,51.61309102115037,126.37937534600496,109.2631165925286,5734.450007982862,2963.150032536698,143.76929128775373,12.566756689838277,85.33333333333333,5.131601439446884,0,0.0,1638.6666666666667,1408.734656822687,14216.333333333334,148.3790191817338,1,0.0,1637.6666666666667,1408.734656822687,11787.333333333334,1943.93835636147,0,0.0,790.3333333333334,683.5827187205169,0.0,0.0
arcade-game,2cov,reduced,C∪S,2,3,3,0,0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.28867513459481287,0.014285714285714285,0.0,0.02790818988002087,0.0002258803870068951,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,0,0.0,0,0.0,4.333333333333333,0.5773502691896257,1374.6666666666667,328.51230316889706,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1294.3333333333333,301.09190180629787,1,0.0,3372.043132626762,2904.6055596047413,2236.0275000100955,51.61309102115037,0.6580003537237644,0.3692668104791544,5608.728632990581,2854.615901362771,143.76929128775373,12.566756689838277,85.33333333333333,5.131601439446884,0,0.0,1638.6666666666667,1408.734656822687,13427.666666666666,534.6263492695934,1,0.0,1637.6666666666667,1408.734656822687,11787.333333333334,1943.93835636147,0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0
arcade-game,2cov,reduced,C∪S,3,3,3,0,0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.28867513459481287,0.014285714285714285,0.0,0.02790818988002087,0.0002258803870068951,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,0,0.0,0,0.0,4.333333333333333,0.5773502691896257,1374.6666666666667,328.51230316889706,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1294.3333333333333,301.09190180629787,1,0.0,3372.043132626762,2904.6055596047413,2236.0275000100955,51.61309102115037,0.6414306893323859,0.3470533460503998,5608.71206332619,2854.599363523912,143.76929128775373,12.566756689838277,85.33333333333333,5.131601439446884,0,0.0,1638.6666666666667,1408.734656822687,13427.666666666666,534.6263492695934,1,0.0,1637.6666666666667,1408.734656822687,11787.333333333334,1943.93835636147,0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0
arcade-game,2cov,reduced,C∪S,5,3,3,0,0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.28867513459481287,0.014285714285714285,0.0,0.02790818988002087,0.0002258803870068951,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,0,0.0,0,0.0,4.333333333333333,0.5773502691896257,1374.6666666666667,328.51230316889706,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1294.3333333333333,301.09190180629787,1,0.0,3372.043132626762,2904.6055596047413,2236.0275000100955,51.61309102115037,0.6409030174836516,0.3441204546152822,5608.711535654341,2854.5944007071753,143.76929128775373,12.566756689838277,85.33333333333333,5.131601439446884,0,0.0,1638.6666666666667,1408.734656822687,13427.666666666666,534.6263492695934,1,0.0,1637.6666666666667,1408.734656822687,11787.333333333334,1943.93835636147,0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0
arcade-game,2cov,raw,C,,3,3,0,0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.28867513459481287,0.014285714285714285,0.0,0.02790818988002087,0.0002258803870068951,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,0,0.0,0,0.0,4.333333333333333,0.5773502691896257,1374.6666666666667,328.51230316889706,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1294.3333333333333,301.09190180629787,1,0.0,3350.6277047369317,2889.2940656243254,2329.6529580062875,93.13019840333021,0.0,0.0,5680.280662743219,2908.681287572269,0.0,0.0,0,0.0,0,0.0,1638.6666666666667,1408.734656822687,13426,535.2036995387831,1,0.0,1637.6666666666667,1408.734656822687,11787.333333333334,1943.93835636147,0,0.0,0,0.0,0.0,0.0
arcade-game,2cov,raw,C∪S,1,3,3,0,0,47.666666666666664,40.414518843273804,0.6056338028169014,0.3415311451544265,0.28095238095238095,0.23094010767585033,0.2836213498485,0.22122821222769,0.8030303030303031,0.17058076135148031,0.48205128205128206,0.40414518843273806,0.48338345284910167,0.39237915588228556,0.8483033932135728,0.1313731151449448,0.6666666666666667,0.564026801439096,0.5892255892255892,0.4840411347751408,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,0,0.0,0,0.0,4.333333333333333,0.5773502691896257,1374.6666666666667,328.51230316889706,1.6666666666666667,0.5773502691896257,788.6666666666666,683.0053684513273,47.666666666666664,40.414518843273804,0,0.0,1,0.0,1294.3333333333333,301.09190180629787,1,0.0,3350.6277047369317,2889.2940656243254,2329.6529580062875,93.13019840333021,128.30462500763437,111.02536029463734,5808.585287750854,3019.6859156524442,0.0,0.0,0,0.0,0,0.0,1638.6666666666667,1408.734656822687,14216.333333333334,148.3790191817338,1,0.0,1637.6666666666667,1408.734656822687,11787.333333333334,1943.93835636147,0,0.0,790.3333333333334,683.5827187205169,0.0,0.0
arcade-game,2cov,raw,C∪S,2,3,3,0,0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.28867513459481287,0.014285714285714285,0.0,0.02790818988002087,0.0002258803870068951,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,0,0.0,0,0.0,4.333333333333333,0.5773502691896257,1374.6666666666667,328.51230316889706,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1294.3333333333333,301.09190180629787,1,0.0,3350.6277047369317,2889.2940656243254,2329.6529580062875,93.13019840333021,0.6656666713145872,0.3058813770219571,5680.946329414534,2908.984621839996,0.0,0.0,0,0.0,0,0.0,1638.6666666666667,1408.734656822687,13427.666666666666,534.6263492695934,1,0.0,1637.6666666666667,1408.734656822687,11787.333333333334,1943.93835636147,0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0
arcade-game,2cov,raw,C∪S,3,3,3,0,0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.28867513459481287,0.014285714285714285,0.0,0.02790818988002087,0.0002258803870068951,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0.8333333333333334,0.14433756729740643,0.020512820512820513,0.004441155916843275,0.039951756369666816,0.008356041887864322,0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,4.333333333333333,0.5773502691896257,0,0.0,0,0.0,4.333333333333333,0.5773502691896257,1374.6666666666667,328.51230316889706,1.6666666666666667,0.5773502691896257,0,0.0,1.6666666666666667,0.5773502691896257,0,0.0,1,0.0,1294.3333333333333,301.09190180629787,1,0.0,3350.6277047369317,2889.2940656243254,2329.6529580062875,93.13019840333021,0.6054163483592371,0.3135256678121178,5680.886079091579,2908.9895470987185,0.0,0.0,0,0.0,0,0.0,1638.6666666666667,1408.734656822687,13427.666666666666,534.6263492695934,1,0.0,1637.6666666666667,1408.734656822687,11787.333333333334,1943.93835636147,0,0.0,1.6666666666666667,0.5773502691896257,0.0,0.0
