kb,example_set,fold,zero_neg_train,n_train_pos,n_train_neg,n_test_pos,n_test_neg,n_test_total,negatives,condition,k,n_bias,size,desc_p,desc_r,desc_f1,clause_p,clause_r,clause_f1,sem_p,sem_r,sem_f1,exact_equiv,accuracy,tp,tn,fp,fn,specificity,n_mss,n_cover,n_support,n_kb,n_uncoverable,n_components,largest_component,n_greedy_fallback,stage1_ms,cover_ms,reduce_ms,total_ms,oracle_queries,stage1_batch_checks,checks_total,checks_gate,checks_admpool,checks_cover_rej,checks_cover_qx,checks_redundancy,preprocessing_checks,preprocessing_ms,memory_mb,convergence_reason,qa_max_queries,qa_timeout_s,quacq_bandaid_drops,quacq_findc_unconfirmed,quacq_empty_scope_appends,quacq_prune_partial_pruned,quacq_prune_complete_pruned
arcade-game,2cov,1,0,1,9,0,4,4,reduced,C∪S,1,1755,71,0.4084507042253521,0.4142857142857143,0.4113475177304965,0.7045454545454546,0.7153846153846154,0.7099236641221374,0.7724550898203593,0.9923076923076923,0.8686868686868687,0,1.0,0,4,0,0,1.0,1185,2,1183,71,0,1,1122,1,5111.7971510393545,2194.7530829929747,182.13729199487716,7488.687526027206,0,2452,14302,1,2451,10665,0,1185,81,137.70333398133516,0.0,,,,,,,,
arcade-game,2cov,1,0,1,9,0,4,4,reduced,C∪S,2,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1122,1,5111.7971510393545,2194.7530829929747,0.795917003415525,7307.346151035745,0,2452,13119,1,2451,10665,0,2,81,137.70333398133516,0.0,,,,,,,,
arcade-game,2cov,1,0,1,9,0,4,4,reduced,C∪S,3,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1122,1,5111.7971510393545,2194.7530829929747,0.8045000140555203,7307.354734046385,0,2452,13119,1,2451,10665,0,2,81,137.70333398133516,0.0,,,,,,,,
arcade-game,2cov,1,0,1,9,0,4,4,reduced,C∪S,5,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1122,1,5111.7971510393545,2194.7530829929747,0.787292025052011,7307.337526057381,0,2452,13119,1,2451,10665,0,2,81,137.70333398133516,0.0,,,,,,,,
arcade-game,2cov,1,0,1,9,0,4,4,raw,C,,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1122,1,5159.827043360565,2429.551833018195,0.0,7589.37887637876,0,2452,13117,1,2451,10665,0,0,0,0.0,0.0,,,,,,,,
arcade-game,2cov,1,0,1,9,0,4,4,raw,C∪S,1,1755,71,0.4084507042253521,0.4142857142857143,0.4113475177304965,0.7045454545454546,0.7153846153846154,0.7099236641221374,0.7724550898203593,0.9923076923076923,0.8686868686868687,0,1.0,0,4,0,0,1.0,1185,2,1183,71,0,1,1122,1,5159.827043360565,2429.551833018195,199.08462499734014,7788.4635013761,0,2452,14302,1,2451,10665,0,1185,0,0.0,0.0,,,,,,,,
arcade-game,2cov,1,0,1,9,0,4,4,raw,C∪S,2,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1122,1,5159.827043360565,2429.551833018195,0.8273330167867243,7590.2062093955465,0,2452,13119,1,2451,10665,0,2,0,0.0,0.0,,,,,,,,
arcade-game,2cov,1,0,1,9,0,4,4,raw,C∪S,3,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1122,1,5159.827043360565,2429.551833018195,0.7533750031143427,7590.132251381874,0,2452,13119,1,2451,10665,0,2,0,0.0,0.0,,,,,,,,
arcade-game,2cov,1,0,1,9,0,4,4,raw,C∪S,5,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1122,1,5159.827043360565,2429.551833018195,0.7117079803720117,7590.090584359132,0,2452,13119,1,2451,10665,0,2,0,0.0,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,n/a,A,,1755,1185,0.056540084388185655,0.9571428571428572,0.10677290836653386,0.10556464811783961,0.9923076923076923,0.1908284023668639,0.10804020100502512,0.9923076923076923,0.19486404833836854,0,1.0,0,4,0,0,1.0,1185,0,0,1185,0,0,0,0,4985.445290862117,0.0,0.0,4985.445290862117,0,2452,2452,1,2451,0,0,0,0,0.0,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,reduced,C,,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1119,1,4985.445290862117,2219.4326250464655,0.0,7204.8779159085825,0,2452,13117,1,2451,10665,0,0,91,158.21833297377452,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,reduced,C∪S,1,1755,71,0.4084507042253521,0.4142857142857143,0.4113475177304965,0.7045454545454546,0.7153846153846154,0.7099236641221374,0.7724550898203593,0.9923076923076923,0.8686868686868687,0,1.0,0,4,0,0,1.0,1185,2,1183,71,0,1,1119,1,4985.445290862117,2219.4326250464655,196.51429203804582,7401.392207946628,0,2452,14302,1,2451,10665,0,1185,91,158.21833297377452,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,reduced,C∪S,2,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1119,1,4985.445290862117,2219.4326250464655,0.9384590084664524,7205.816374917049,0,2452,13119,1,2451,10665,0,2,91,158.21833297377452,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,reduced,C∪S,3,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1119,1,4985.445290862117,2219.4326250464655,0.8769170381128788,7205.754832946695,0,2452,13119,1,2451,10665,0,2,91,158.21833297377452,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,reduced,C∪S,5,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1119,1,4985.445290862117,2219.4326250464655,0.8876250358298421,7205.765540944412,0,2452,13119,1,2451,10665,0,2,91,158.21833297377452,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,raw,C,,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1119,1,4873.602650652174,2245.2304160105996,0.0,7118.8330666627735,0,2452,13117,1,2451,10665,0,0,0,0.0,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,raw,C∪S,1,1755,71,0.4084507042253521,0.4142857142857143,0.4113475177304965,0.7045454545454546,0.7153846153846154,0.7099236641221374,0.7724550898203593,0.9923076923076923,0.8686868686868687,0,1.0,0,4,0,0,1.0,1185,2,1183,71,0,1,1119,1,4873.602650652174,2245.2304160105996,185.48500002361834,7304.318066686392,0,2452,14302,1,2451,10665,0,1185,0,0.0,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,raw,C∪S,2,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1119,1,4873.602650652174,2245.2304160105996,0.8567919721826911,7119.689858634956,0,2452,13119,1,2451,10665,0,2,0,0.0,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,raw,C∪S,3,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1119,1,4873.602650652174,2245.2304160105996,0.8175830007530749,7119.650649663527,0,2452,13119,1,2451,10665,0,2,0,0.0,0.0,,,,,,,,
arcade-game,2cov,2,0,1,9,0,4,4,raw,C∪S,5,1755,2,0.5,0.014285714285714285,0.02777777777777778,0.75,0.023076923076923078,0.04477611940298507,0.75,0.023076923076923078,0.04477611940298507,0,1.0,0,4,0,0,1.0,1185,2,0,2,0,1,1119,1,4873.602650652174,2245.2304160105996,0.7717499975115061,7119.604816660285,0,2452,13119,1,2451,10665,0,2,0,0.0,0.0,,,,,,,,
arcade-game,2cov,0,0,0,8,1,5,6,n/a,QuAcq,,1755,3,1.0,0.04285714285714286,0.0821917808219178,1.0,0.038461538461538464,0.07407407407407407,1.0,0.038461538461538464,0.07407407407407407,0,0.8333333333333334,1,4,1,0,0.8,0,0,0,3,0,0,0,0,3903.7308340193704,0.0,0.0,3903.7308340193704,37,,0,0,0,0,0,0,0,0.0,2.392599105834961,pool_exhausted,,,0,0,0,122,0
arcade-game,2cov,1,0,1,9,0,4,4,n/a,QuAcq,,1755,2,1.0,0.02857142857142857,0.05555555555555556,1.0,0.023076923076923078,0.04511278195488722,1.0,0.023076923076923078,0.04511278195488722,0,0.5,0,2,2,0,0.5,0,0,0,2,0,0,0,0,3237.0341250207275,0.0,0.0,3237.0341250207275,27,,0,0,0,0,0,0,0,0.0,2.414815902709961,pool_exhausted,,,0,0,0,77,547
arcade-game,2cov,2,0,1,9,0,4,4,n/a,QuAcq,,1755,3,1.0,0.04285714285714286,0.0821917808219178,1.0,0.03076923076923077,0.059701492537313446,1.0,0.03076923076923077,0.059701492537313446,0,1.0,0,4,0,0,1.0,0,0,0,3,0,0,0,0,4370.770500041544,0.0,0.0,4370.770500041544,36,,0,0,0,0,0,0,0,0.0,2.430234909057617,pool_exhausted,,,0,0,0,139,525
arcade-game,2cov,0,0,0,8,1,5,6,n/a,QuAcq-active,,1755,27,0.8888888888888888,0.34285714285714286,0.4948453608247422,1.0,0.2923076923076923,0.4523809523809524,1.0,0.2923076923076923,0.4523809523809524,0,1.0,1,5,0,0,1.0,0,0,0,27,0,0,0,0,5213442.725957953,0.0,0.0,5213442.725957953,5000,,0,0,0,0,0,0,0,0.0,86.02885818481445,max_queries,5000,7200.0,326,13,0,702,0
arcade-game,2cov,1,0,1,9,0,4,4,n/a,QuAcq-active,,1755,27,0.8888888888888888,0.34285714285714286,0.4948453608247422,1.0,0.2923076923076923,0.4523809523809524,1.0,0.2923076923076923,0.4523809523809524,0,1.0,0,4,0,0,1.0,0,0,0,27,0,0,0,0,5213442.725957953,0.0,0.0,5213442.725957953,5000,,0,0,0,0,0,0,0,0.0,86.02885818481445,max_queries,5000,7200.0,326,13,0,702,0
arcade-game,2cov,2,0,1,9,0,4,4,n/a,QuAcq-active,,1755,27,0.8888888888888888,0.34285714285714286,0.4948453608247422,1.0,0.2923076923076923,0.4523809523809524,1.0,0.2923076923076923,0.4523809523809524,0,1.0,0,4,0,0,1.0,0,0,0,27,0,0,0,0,5213442.725957953,0.0,0.0,5213442.725957953,5000,,0,0,0,0,0,0,0,0.0,86.02885818481445,max_queries,5000,7200.0,326,13,0,702,0
arcade-game,ff,0,0,11,3,6,2,8,n/a,A,,1755,893,0.07502799552071669,0.9571428571428572,0.13914849428868123,0.13930885529157666,0.9923076923076923,0.2443181818181818,0.13123092573753814,0.9923076923076923,0.23180592991913748,0,0.25,0,2,0,6,1.0,893,0,0,893,0,0,0,0,21696.93556515267,0.0,0.0,21696.93556515267,0,2702,2702,1,2701,0,0,0,0,0.0,0.0,,,,,,,,
arcade-game,ff,0,0,11,3,6,2,8,reduced,C,,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,0.875,6,1,1,0,0.5,893,1,0,1,0,1,532,1,21696.93556515267,529.891082958784,0.0,22226.826648111455,0,2702,5381,1,2701,2679,0,0,24,40.27625103481114,0.0,,,,,,,,
arcade-game,ff,0,0,11,3,6,2,8,reduced,C∪S,1,1755,80,0.475,0.5428571428571428,0.5066666666666667,0.6612903225806451,0.6307692307692307,0.6456692913385826,0.7152777777777778,0.7923076923076923,0.7518248175182481,0,0.5,2,2,0,4,1.0,893,1,330,80,0,1,532,1,21696.93556515267,529.891082958784,55.711790977511555,22282.538439088967,0,2702,5712,1,2701,2679,0,331,24,40.27625103481114,0.0,,,,,,,,
