kb,example_set,fold,zero_neg_train,n_train_pos,n_train_neg,n_test_pos,n_test_neg,n_test_total,negatives,condition,k,n_bias,size,desc_p,desc_r,desc_f1,clause_p,clause_r,clause_f1,sem_p,sem_r,sem_f1,exact_equiv,accuracy,tp,tn,fp,fn,specificity,n_mss,n_cover,n_support,n_kb,n_uncoverable,n_components,largest_component,n_greedy_fallback,stage1_ms,cover_ms,reduce_ms,total_ms,oracle_queries,stage1_batch_checks,checks_total,checks_gate,checks_admpool,checks_cover_rej,checks_cover_qx,checks_redundancy,preprocessing_checks,preprocessing_ms,memory_mb,convergence_reason,qa_max_queries,qa_timeout_s,quacq_bandaid_drops,quacq_findc_unconfirmed,quacq_empty_scope_appends,quacq_prune_partial_pruned,quacq_prune_complete_pruned
REAL-FM-4,2cov,0,0,0,11,1,6,7,n/a,A,,2079,2078,0.10490856592877768,0.9954337899543378,0.18981279930343928,0.18058499364137345,0.9953271028037384,0.3057050592034446,0.1828693790149893,0.9976635514018691,0.30908432862830254,0,0.8571428571428571,0,6,0,1,1.0,2078,0,0,2078,0,0,0,0,46.36596405180171,0.0,0.0,46.36596405180171,0,13,13,1,12,0,0,0,0,0.0,0.0,,,,,,,,
REAL-FM-4,2cov,0,0,0,11,1,6,7,reduced,C,,2079,2,1.0,0.0091324200913242,0.01809954751131222,1.0,0.009345794392523364,0.018518518518518517,1.0,0.009345794392523364,0.018518518518518517,0,1.0,1,6,0,0,1.0,2078,2,0,2,0,1,2006,1,46.36596405180171,6290.668083005585,0.0,6337.0340470573865,0,13,22871,1,12,22858,0,0,112,343.8043750356883,0.0,,,,,,,,
REAL-FM-4,2cov,0,0,0,11,1,6,7,reduced,C∪S,1,2079,2,1.0,0.0091324200913242,0.01809954751131222,1.0,0.009345794392523364,0.018518518518518517,1.0,0.009345794392523364,0.018518518518518517,0,1.0,1,6,0,0,1.0,2078,2,0,2,0,1,2006,1,46.36596405180171,6290.668083005585,0.8442500256933272,6337.87829708308,0,13,22873,1,12,22858,0,2,112,343.8043750356883,0.0,,,,,,,,
REAL-FM-4,2cov,0,0,0,11,1,6,7,reduced,C∪S,2,2079,2,1.0,0.0091324200913242,0.01809954751131222,1.0,0.009345794392523364,0.018518518518518517,1.0,0.009345794392523364,0.018518518518518517,0,1.0,1,6,0,0,1.0,2078,2,0,2,0,1,2006,1,46.36596405180171,6290.668083005585,0.6923329783603549,6337.726380035747,0,13,22873,1,12,22858,0,2,112,343.8043750356883,0.0,,,,,,,,
REAL-FM-4,2cov,0,0,0,11,1,6,7,reduced,C∪S,3,2079,2,1.0,0.0091324200913242,0.01809954751131222,1.0,0.009345794392523364,0.018518518518518517,1.0,0.009345794392523364,0.018518518518518517,0,1.0,1,6,0,0,1.0,2078,2,0,2,0,1,2006,1,46.36596405180171,6290.668083005585,0.6774580106139183,6337.711505068,0,13,22873,1,12,22858,0,2,112,343.8043750356883,0.0,,,,,,,,
REAL-FM-4,2cov,0,0,0,11,1,6,7,reduced,C∪S,5,2079,2,1.0,0.0091324200913242,0.01809954751131222,1.0,0.009345794392523364,0.018518518518518517,1.0,0.009345794392523364,0.018518518518518517,0,1.0,1,6,0,0,1.0,2078,2,0,2,0,1,2006,1,46.36596405180171,6290.668083005585,0.6749170133844018,6337.708964070771,0,13,22873,1,12,22858,0,2,112,343.8043750356883,0.0,,,,,,,,
REAL-FM-4,2cov,0,0,0,11,1,6,7,raw,C,,2079,2,1.0,0.0091324200913242,0.01809954751131222,1.0,0.009345794392523364,0.018518518518518517,1.0,0.009345794392523364,0.018518518518518517,0,1.0,1,6,0,0,1.0,2078,2,0,2,0,1,2006,1,32.912792230490595,6580.450624984223,0.0,6613.363417214714,0,13,22871,1,12,22858,0,0,0,0.0,0.0,,,,,,,,
REAL-FM-4,2cov,0,0,0,11,1,6,7,raw,C∪S,1,2079,2,1.0,0.0091324200913242,0.01809954751131222,1.0,0.009345794392523364,0.018518518518518517,1.0,0.009345794392523364,0.018518518518518517,0,1.0,1,6,0,0,1.0,2078,2,0,2,0,1,2006,1,32.912792230490595,6580.450624984223,0.95624994719401,6614.319667161908,0,13,22873,1,12,22858,0,2,0,0.0,0.0,,,,,,,,
REAL-FM-4,2cov,0,0,0,11,1,6,7,raw,C∪S,2,2079,2,1.0,0.0091324200913242,0.01809954751131222,1.0,0.009345794392523364,0.018518518518518517,1.0,0.009345794392523364,0.018518518518518517,0,1.0,1,6,0,0,1.0,2078,2,0,2,0,1,2006,1,32.912792230490595,6580.450624984223,0.7971670129336417,6614.160584227648,0,13,22873,1,12,22858,0,2,0,0.0,0.0,,,,,,,,
REAL-FM-4,2cov,0,0,0,11,1,6,7,raw,C∪S,3,2079,2,1.0,0.0091324200913242,0.01809954751131222,1.0,0.009345794392523364,0.018518518518518517,1.0,0.009345794392523364,0.018518518518518517,0,1.0,1,6,0,0,1.0,2078,2,0,2,0,1,2006,1,32.912792230490595,6580.450624984223,0.7372500258497894,6614.100667240564,0,13,22873,1,12,22858,0,2,0,0.0,0.0,,,,,,,,
