kb,example_set,negatives,condition,k,n_folds,n_ok_folds,n_failed,n_nonconverged,n_timeout,n_maxq,n_zero_neg_folds,size_mean,size_std,desc_p_mean,desc_p_std,desc_r_mean,desc_r_std,desc_f1_mean,desc_f1_std,clause_p_mean,clause_p_std,clause_r_mean,clause_r_std,clause_f1_mean,clause_f1_std,sem_p_mean,sem_p_std,sem_r_mean,sem_r_std,sem_f1_mean,sem_f1_std,exact_equiv_mean,exact_equiv_std,accuracy_mean,accuracy_std,specificity_mean,specificity_std,tp_mean,tp_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,n_test_neg_mean,n_test_neg_std,n_mss_mean,n_mss_std,n_cover_mean,n_cover_std,n_support_mean,n_support_std,n_kb_mean,n_kb_std,n_uncoverable_mean,n_uncoverable_std,n_components_mean,n_components_std,largest_component_mean,largest_component_std,n_greedy_fallback_mean,n_greedy_fallback_std,stage1_ms_mean,stage1_ms_std,cover_ms_mean,cover_ms_std,reduce_ms_mean,reduce_ms_std,total_ms_mean,total_ms_std,preprocessing_ms_mean,preprocessing_ms_std,preprocessing_checks_mean,preprocessing_checks_std,oracle_queries_mean,oracle_queries_std,stage1_batch_checks_mean,stage1_batch_checks_std,checks_total_mean,checks_total_std,checks_gate_mean,checks_gate_std,checks_admpool_mean,checks_admpool_std,checks_cover_rej_mean,checks_cover_rej_std,checks_cover_qx_mean,checks_cover_qx_std,checks_redundancy_mean,checks_redundancy_std,memory_mb_mean,memory_mb_std
REAL-FM-7,2cov,n/a,A,,3,3,0,0,0,0,0,294,0.0,0.04421768707482993,0.0,1.0,0.0,0.08469055374592835,0.0,0.07664233576642336,0.0,0.9545454545454546,0.0,0.14189189189189189,0.0,0.08235294117647059,0.0,0.9545454545454546,0.0,0.1516245487364621,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,3,0.0,294,0.0,0,0.0,0,0.0,294,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8.37147255272915,0.13422538574905807,0.0,0.0,0.0,0.0,8.37147255272915,0.13422538574905807,0.0,0.0,0,0.0,0,0.0,10,0.0,10,0.0,1,0.0,9,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
REAL-FM-7,2cov,reduced,C,,3,3,0,0,0,0,0,2,0.0,1.0,0.0,0.15384615384615385,0.0,0.2666666666666667,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,3,0.0,294,0.0,2,0.0,0,0.0,2,0.0,0,0.0,1,0.0,254.33333333333334,11.930353445448853,1,0.0,8.37147255272915,0.13422538574905807,54.99625033310925,1.0050079062326671,0.0,0.0,63.3677228858384,1.0168340171573336,16.08013967052102,0.8687820233199388,48,1.0,0,0.0,10,0.0,1774,0.0,1,0.0,9,0.0,1764,0.0,0,0.0,0,0.0,0.0,0.0
REAL-FM-7,2cov,reduced,C∪S,1,3,3,0,0,0,0,0,2,0.0,1.0,0.0,0.15384615384615385,0.0,0.2666666666666667,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,3,0.0,294,0.0,2,0.0,0,0.0,2,0.0,0,0.0,1,0.0,254.33333333333334,11.930353445448853,1,0.0,8.37147255272915,0.13422538574905807,54.99625033310925,1.0050079062326671,0.19319433098038039,0.016165151930677014,63.56091721681878,1.0155907798924158,16.08013967052102,0.8687820233199388,48,1.0,0,0.0,10,0.0,1776,0.0,1,0.0,9,0.0,1764,0.0,0,0.0,2,0.0,0.0,0.0
REAL-FM-7,2cov,reduced,C∪S,2,3,3,0,0,0,0,0,2,0.0,1.0,0.0,0.15384615384615385,0.0,0.2666666666666667,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,3,0.0,294,0.0,2,0.0,0,0.0,2,0.0,0,0.0,1,0.0,254.33333333333334,11.930353445448853,1,0.0,8.37147255272915,0.13422538574905807,54.99625033310925,1.0050079062326671,0.14076399384066463,0.030665061284771415,63.50848687967906,1.0459440678120675,16.08013967052102,0.8687820233199388,48,1.0,0,0.0,10,0.0,1776,0.0,1,0.0,9,0.0,1764,0.0,0,0.0,2,0.0,0.0,0.0
REAL-FM-7,2cov,reduced,C∪S,3,3,3,0,0,0,0,0,2,0.0,1.0,0.0,0.15384615384615385,0.0,0.2666666666666667,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,3,0.0,294,0.0,2,0.0,0,0.0,2,0.0,0,0.0,1,0.0,254.33333333333334,11.930353445448853,1,0.0,8.37147255272915,0.13422538574905807,54.99625033310925,1.0050079062326671,0.12199966780220468,0.007357355736738506,63.489722553640604,1.0236152509237744,16.08013967052102,0.8687820233199388,48,1.0,0,0.0,10,0.0,1776,0.0,1,0.0,9,0.0,1764,0.0,0,0.0,2,0.0,0.0,0.0
REAL-FM-7,2cov,reduced,C∪S,5,3,3,0,0,0,0,0,2,0.0,1.0,0.0,0.15384615384615385,0.0,0.2666666666666667,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,3,0.0,294,0.0,2,0.0,0,0.0,2,0.0,0,0.0,1,0.0,254.33333333333334,11.930353445448853,1,0.0,8.37147255272915,0.13422538574905807,54.99625033310925,1.0050079062326671,0.12083297284940879,0.004573734231959576,63.48855585868781,1.0193701491215392,16.08013967052102,0.8687820233199388,48,1.0,0,0.0,10,0.0,1776,0.0,1,0.0,9,0.0,1764,0.0,0,0.0,2,0.0,0.0,0.0
REAL-FM-7,2cov,raw,C,,3,3,0,0,0,0,0,2,0.0,1.0,0.0,0.15384615384615385,0.0,0.2666666666666667,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,3,0.0,294,0.0,2,0.0,0,0.0,2,0.0,0,0.0,1,0.0,254.33333333333334,11.930353445448853,1,0.0,9.230849313704917,1.662086552787463,55.242680672866605,1.026427408354609,0.0,0.0,64.47352998657152,2.683342044407756,0.0,0.0,0,0.0,0,0.0,10,0.0,1774,0.0,1,0.0,9,0.0,1764,0.0,0,0.0,0,0.0,0.0,0.0
REAL-FM-7,2cov,raw,C∪S,1,3,3,0,0,0,0,0,2,0.0,1.0,0.0,0.15384615384615385,0.0,0.2666666666666667,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,3,0.0,294,0.0,2,0.0,0,0.0,2,0.0,0,0.0,1,0.0,254.33333333333334,11.930353445448853,1,0.0,9.230849313704917,1.662086552787463,55.242680672866605,1.026427408354609,0.20120834233239293,0.010830766755448614,64.67473832890391,2.6833846427415358,0.0,0.0,0,0.0,0,0.0,10,0.0,1776,0.0,1,0.0,9,0.0,1764,0.0,0,0.0,2,0.0,0.0,0.0
REAL-FM-7,2cov,raw,C∪S,2,3,3,0,0,0,0,0,2,0.0,1.0,0.0,0.15384615384615385,0.0,0.2666666666666667,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,3,0.0,294,0.0,2,0.0,0,0.0,2,0.0,0,0.0,1,0.0,254.33333333333334,11.930353445448853,1,0.0,9.230849313704917,1.662086552787463,55.242680672866605,1.026427408354609,0.14023634139448404,0.024662712656487343,64.613766327966,2.6597821845999565,0.0,0.0,0,0.0,0,0.0,10,0.0,1776,0.0,1,0.0,9,0.0,1764,0.0,0,0.0,2,0.0,0.0,0.0
REAL-FM-7,2cov,raw,C∪S,3,3,3,0,0,0,0,0,2,0.0,1.0,0.0,0.15384615384615385,0.0,0.2666666666666667,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,1.0,0.0,0.2727272727272727,0.0,0.42857142857142855,0.0,0,0.0,1.0,0.0,1.0,0.0,0,0.0,3,0.0,0,0.0,0,0.0,3,0.0,294,0.0,2,0.0,0,0.0,2,0.0,0,0.0,1,0.0,254.33333333333334,11.930353445448853,1,0.0,9.230849313704917,1.662086552787463,55.242680672866605,1.026427408354609,0.13875000877305865,0.03522893085877771,64.61227999534458,2.7047564361847187,0.0,0.0,0,0.0,0,0.0,10,0.0,1776,0.0,1,0.0,9,0.0,1764,0.0,0,0.0,2,0.0,0.0,0.0
